error,numSignals,selectSignal,samples,doas
False,1,0,10000,[0.20943951023931962]
False,1,0,10000,[0.20943951023931962]
False,1,0,10000,[0.20943951023931962]
False,1,0,10000,[0.20943951023931962]
False,1,0,10000,[0.20943951023931962]
False,1,0,10000,[0.20943951023931962]
False,1,0,10000,[0.20943951023931962]
False,1,0,10000,[0.20943951023931962]
False,1,0,10000,[0.20943951023931962]
False,1,0,10000,[0.20943951023931962]
False,1,0,10000,[0.20943951023931962]
False,1,0,10000,[0.20943951023931962]
False,1,0,10000,[0.20943951023931962]
False,1,0,10000,[0.20943951023931962]
False,1,0,10000,[0.20943951023931962]
False,1,0,10000,[0.20943951023931962]
False,1,0,10000,[0.22689280275926293]
False,1,0,10000,[0.20943951023931962]
False,1,0,10000,[0.20943951023931962]
False,1,0,10000,[0.20943951023931962]
False,1,0,10000,[0.20943951023931962]
False,1,0,10000,[0.20943951023931962]
False,1,0,10000,[0.20943951023931962]
False,1,0,10000,[0.20943951023931962]
False,1,0,10000,[0.20943951023931962]
False,1,0,10000,[0.20943951023931962]
False,1,0,10000,[0.20943951023931962]
False,1,0,10000,[0.20943951023931962]
False,1,0,10000,[0.20943951023931962]
False,1,0,10000,[0.20943951023931962]
False,1,0,10000,[0.20943951023931962]
False,1,0,10000,[0.20943951023931962]
False,1,0,10000,[0.20943951023931962]
False,1,0,10000,[0.20943951023931962]
False,1,0,10000,[0.20943951023931962]
False,2,0,10000,[0.22689280275926293]
False,2,0,10000,[0.24434609527920625]
False,2,0,10000,[0.22689280275926293]
False,2,0,10000,[0.22689280275926293]
False,2,0,10000,[0.22689280275926293]
False,2,0,10000,[0.22689280275926293]
False,2,0,10000,"[-0.1919862177193763, 0.17453292519943298]"
False,2,0,10000,"[-0.1919862177193763, 0.17453292519943298]"
False,2,0,10000,"[-0.1919862177193763, 0.17453292519943298]"
False,2,0,10000,"[-0.1919862177193763, 0.17453292519943298]"
False,2,0,10000,"[-0.1919862177193763, 0.17453292519943298]"
False,2,0,10000,"[-0.1919862177193763, 0.17453292519943298]"
False,2,0,10000,"[-0.1919862177193763, 0.17453292519943298]"
False,2,0,10000,"[-0.1919862177193763, 0.17453292519943298]"
False,2,0,10000,"[-0.1919862177193763, 0.17453292519943298]"
False,2,0,10000,"[-0.1919862177193763, 0.17453292519943298]"
False,2,0,10000,"[-0.1919862177193763, 0.17453292519943298]"
False,2,0,10000,"[-0.1919862177193763, 0.17453292519943298]"
False,2,0,10000,"[-0.1919862177193763, 0.17453292519943298]"
False,2,0,10000,"[-0.1919862177193763, 0.17453292519943298]"
False,2,0,10000,"[-0.1919862177193763, 0.17453292519943298]"
False,2,0,10000,"[-0.1919862177193763, 0.17453292519943298]"
False,2,0,10000,"[-0.1919862177193763, 0.17453292519943298]"
False,2,0,10000,"[-0.1919862177193763, 0.17453292519943298]"
False,2,0,10000,"[-0.1919862177193763, 0.17453292519943298]"
False,2,0,10000,"[-0.1919862177193763, 0.17453292519943298]"
False,2,0,10000,"[-0.1919862177193763, 0.17453292519943298]"
False,2,0,10000,"[-0.1919862177193763, 0.17453292519943298]"
False,2,0,10000,"[-0.1919862177193763, 0.17453292519943298]"
False,2,0,10000,"[-0.1919862177193763, 0.17453292519943298]"
False,2,0,10000,"[-0.1919862177193763, 0.17453292519943298]"
False,2,0,10000,"[-0.1919862177193763, 0.17453292519943298]"
False,2,0,10000,"[-0.1919862177193763, 0.17453292519943298]"
False,2,0,10000,"[-0.1919862177193763, 0.17453292519943298]"
False,2,0,10000,"[-0.1919862177193763, 0.17453292519943298]"
False,2,0,10000,"[-0.1919862177193763, 0.17453292519943298]"
False,2,0,10000,"[-0.1919862177193763, 0.17453292519943298]"
False,2,0,10000,"[-0.1919862177193763, 0.17453292519943298]"
False,2,0,10000,"[-0.1919862177193763, 0.17453292519943298]"
False,2,0,10000,"[-0.1919862177193763, 0.17453292519943298]"
False,2,0,10000,"[-0.1919862177193763, 0.17453292519943298]"
False,2,0,10000,"[-0.1919862177193763, 0.17453292519943298]"
False,2,0,10000,"[-0.1919862177193763, 0.17453292519943298]"
False,2,0,10000,"[-0.1919862177193763, 0.17453292519943298]"
False,2,0,10000,"[-0.1919862177193763, 0.17453292519943298]"
False,2,0,10000,"[-0.1919862177193763, 0.17453292519943298]"
False,2,0,10000,"[-0.1919862177193763, 0.17453292519943298]"
False,2,0,10000,"[-0.1919862177193763, 0.17453292519943298]"
False,2,0,10000,"[-0.1919862177193763, 0.17453292519943298]"
False,2,0,10000,"[-0.1919862177193763, 0.17453292519943298]"
False,2,0,10000,"[-0.1919862177193763, 0.17453292519943298]"
False,2,0,10000,"[-0.1919862177193763, 0.17453292519943298]"
False,2,0,10000,"[-0.1919862177193763, 0.17453292519943298]"
False,2,0,10000,"[-0.1919862177193763, 0.17453292519943298]"
False,2,0,10000,"[-0.1919862177193763, 0.17453292519943298]"
False,2,0,10000,"[-0.1919862177193763, 0.17453292519943298]"
