error,numSignals,selectSignal,samples,doas
False,1,0,10000,[-1.1519173063162573]
False,1,0,10000,[-1.1519173063162573]
False,1,0,10000,[-1.1519173063162573]
False,1,0,10000,[-1.1519173063162573]
False,1,0,10000,[-1.1519173063162573]
False,1,0,10000,[-1.1519173063162573]
False,1,0,10000,[-1.1519173063162573]
False,1,0,10000,[-1.1519173063162573]
False,1,0,10000,[-1.1519173063162573]
False,1,0,10000,[-1.1519173063162573]
False,1,0,10000,[-1.1519173063162573]
False,1,0,10000,[-1.1519173063162573]
False,1,0,10000,[-1.1693705988362009]
False,1,0,10000,[-1.1519173063162573]
False,1,0,10000,[-1.1519173063162573]
False,1,0,10000,[-1.1519173063162573]
False,1,0,10000,[-1.1519173063162573]
False,1,0,10000,[-1.1519173063162573]
False,1,0,10000,[-1.1519173063162573]
False,1,0,10000,[-1.1519173063162573]
False,1,0,10000,[-1.1519173063162573]
False,1,0,10000,[-1.1519173063162573]
False,1,0,10000,[-1.1519173063162573]
False,1,0,10000,[-1.1519173063162573]
False,1,0,10000,[-1.1519173063162573]
False,1,0,10000,[-1.1519173063162573]
False,1,0,10000,[-1.1519173063162573]
False,1,0,10000,[-1.1519173063162573]
False,1,0,10000,[-1.1519173063162573]
False,1,0,10000,[-1.1519173063162573]
False,1,0,10000,[-1.1519173063162573]
False,1,0,10000,[-1.1519173063162573]
False,1,0,10000,[-1.1519173063162573]
False,1,0,10000,[-1.1519173063162573]
False,1,0,10000,[-1.1519173063162573]
False,1,0,10000,[-1.1519173063162573]
False,1,0,10000,[-1.1519173063162573]
False,1,0,10000,[-1.1519173063162573]
False,1,0,10000,[-1.1519173063162573]
False,1,0,10000,[-1.1519173063162573]
False,1,0,10000,[-1.1519173063162573]
False,1,0,10000,[-1.1519173063162573]
False,1,0,10000,[-1.1519173063162573]
False,1,0,10000,[-1.1519173063162573]
False,1,0,10000,[-1.1519173063162573]
False,1,0,10000,[-1.1519173063162573]
False,1,0,10000,[-1.1519173063162573]
False,1,0,10000,[-1.1519173063162573]
False,1,0,10000,[-1.1519173063162573]
False,1,0,10000,[-1.1519173063162573]
False,1,0,10000,[-1.1519173063162573]
False,1,0,10000,[-1.1519173063162573]
False,1,0,10000,[-1.1519173063162573]
False,1,0,10000,[-1.1519173063162573]
False,1,0,10000,[-1.1519173063162573]
False,1,0,10000,[-1.1519173063162573]
False,1,0,10000,[-1.1519173063162573]
False,1,0,10000,[-1.1519173063162573]
False,1,0,10000,[-1.1519173063162573]
False,1,0,10000,[-1.1519173063162573]
False,1,0,10000,[-1.1519173063162573]
False,1,0,10000,[-1.1519173063162573]
False,1,0,10000,[-1.1519173063162573]
False,1,0,10000,[-1.1519173063162573]
False,1,0,10000,[-1.1519173063162573]
False,1,0,10000,[-1.1519173063162573]
False,1,0,10000,[-1.1519173063162573]
False,1,0,10000,[-1.1519173063162573]
False,1,0,10000,[-1.1519173063162573]
False,1,0,10000,[-1.1519173063162573]
False,1,0,10000,[-1.1519173063162573]
False,1,0,10000,[-1.1519173063162573]
False,1,0,10000,[-1.1519173063162573]
False,1,0,10000,[-1.1519173063162573]
False,1,0,10000,[-1.1519173063162573]
False,1,0,10000,[-1.1519173063162573]
False,1,0,10000,[-1.1519173063162573]
False,1,0,10000,[-1.1519173063162573]
False,1,0,10000,[-1.1519173063162573]
False,1,0,10000,[-1.1519173063162573]
False,1,0,10000,[-1.1519173063162573]
False,1,0,10000,[-1.1519173063162573]
False,1,0,10000,[-1.1519173063162573]
False,1,0,10000,[-1.1519173063162573]
False,1,0,10000,[-1.1519173063162573]
False,1,0,10000,[-1.1519173063162573]
False,1,0,10000,[-1.1519173063162573]
False,1,0,10000,[-1.1519173063162573]
False,1,0,10000,[-1.1519173063162573]
False,1,0,10000,[-1.1519173063162573]
False,1,0,10000,[-1.1519173063162573]
False,1,0,10000,[-1.1519173063162573]
False,1,0,10000,[-1.1519173063162573]
False,1,0,10000,[-1.1519173063162573]
False,1,0,10000,[-1.1519173063162573]
False,1,0,10000,[-1.1519173063162573]
False,1,0,10000,[-1.1519173063162573]
False,1,0,10000,[-1.1519173063162573]
