error,numSignals,selectSignal,samples,doas
False,1,0,10000,[0.6806784082777884]
False,1,0,10000,[0.6806784082777884]
False,1,0,10000,[0.6806784082777884]
False,1,0,10000,[0.6806784082777884]
False,1,0,10000,[0.6806784082777884]
False,1,0,10000,[0.6806784082777884]
False,1,0,10000,[0.6806784082777884]
False,1,0,10000,[0.6806784082777884]
False,1,0,10000,[0.6806784082777884]
False,1,0,10000,[0.6806784082777884]
False,1,0,10000,[0.6806784082777884]
False,1,0,10000,[0.6806784082777884]
False,1,0,10000,[0.6806784082777884]
False,1,0,10000,[0.6806784082777884]
False,1,0,10000,[0.6806784082777884]
False,1,0,10000,[0.6806784082777884]
False,1,0,10000,[0.6806784082777884]
False,1,0,10000,[0.6806784082777884]
False,1,0,10000,[0.6806784082777884]
False,1,0,10000,[0.6806784082777884]
False,1,0,10000,[0.6806784082777884]
False,1,0,10000,[0.6806784082777884]
False,1,0,10000,[0.6806784082777884]
False,1,0,10000,[0.6806784082777884]
False,1,0,10000,[0.6806784082777884]
False,1,0,10000,[0.6806784082777884]
False,1,0,10000,[0.6806784082777884]
False,1,0,10000,[0.6806784082777884]
False,1,0,10000,[0.6806784082777884]
False,1,0,10000,[0.6806784082777884]
False,1,0,10000,[0.6806784082777884]
False,1,0,10000,[0.6806784082777884]
False,1,0,10000,[0.6806784082777884]
False,1,0,10000,[0.6806784082777884]
False,1,0,10000,[0.6806784082777884]
False,1,0,10000,[0.6806784082777884]
False,1,0,10000,[0.6806784082777884]
False,1,0,10000,[0.6806784082777884]
False,1,0,10000,[0.6806784082777884]
False,1,0,10000,[0.6806784082777884]
False,1,0,10000,[0.6806784082777884]
False,1,0,10000,[0.6806784082777884]
False,1,0,10000,[0.6806784082777884]
False,1,0,10000,[0.6806784082777884]
False,1,0,10000,[0.6806784082777884]
False,1,0,10000,[0.6806784082777884]
False,1,0,10000,[0.6806784082777884]
False,1,0,10000,[0.6806784082777884]
False,1,0,10000,[0.6806784082777884]
False,1,0,10000,[0.6806784082777884]
False,1,0,10000,[0.6806784082777884]
False,1,0,10000,[0.6806784082777884]
False,1,0,10000,[0.6806784082777884]
False,1,0,10000,[0.6806784082777884]
False,1,0,10000,[0.6806784082777884]
False,1,0,10000,[0.6806784082777884]
False,1,0,10000,[0.6806784082777884]
False,1,0,10000,[0.6806784082777884]
False,1,0,10000,[0.6806784082777884]
False,1,0,10000,[0.6806784082777884]
False,1,0,10000,[0.6806784082777884]
False,1,0,10000,[0.6806784082777884]
False,1,0,10000,[0.6806784082777884]
False,1,0,10000,[0.6806784082777884]
False,1,0,10000,[0.6806784082777884]
False,1,0,10000,[0.6806784082777884]
False,1,0,10000,[0.6806784082777884]
False,1,0,10000,[0.6806784082777884]
False,1,0,10000,[0.6806784082777884]
False,1,0,10000,[0.6806784082777884]
False,1,0,10000,[0.6806784082777884]
False,1,0,10000,[0.6806784082777884]
False,1,0,10000,[0.6806784082777884]
False,1,0,10000,[0.6806784082777884]
False,1,0,10000,[0.6806784082777884]
False,1,0,10000,[0.6806784082777884]
False,1,0,10000,[0.6806784082777884]
False,1,0,10000,[0.6806784082777884]
False,1,0,10000,[0.6806784082777884]
False,1,0,10000,[0.6806784082777884]
False,1,0,10000,[0.6806784082777884]
False,1,0,10000,[0.6806784082777884]
False,1,0,10000,[0.6806784082777884]
False,1,0,10000,[0.6806784082777884]
False,1,0,10000,[0.6806784082777884]
False,1,0,10000,[0.6806784082777884]
False,1,0,10000,[0.6806784082777884]
False,1,0,10000,[0.6806784082777884]
False,1,0,10000,[0.6806784082777884]
False,1,0,10000,[0.6806784082777884]
False,1,0,10000,[0.6806784082777884]
False,1,0,10000,[0.6806784082777884]
False,1,0,10000,[0.6806784082777884]
False,1,0,10000,[0.6806784082777884]
False,1,0,10000,[0.6806784082777884]
False,1,0,10000,[0.6806784082777884]
False,1,0,10000,[0.6806784082777884]
False,1,0,10000,[0.6806784082777884]
False,1,0,10000,[0.6806784082777884]
False,1,0,10000,[0.6806784082777884]
