error,numSignals,selectSignal,samples,doas
False,1,0,3162,[0.0]
False,1,0,3162,[0.0]
False,1,0,3162,[0.0]
False,1,0,3162,[0.0]
False,1,0,3162,[0.0]
False,1,0,3162,[0.0]
False,1,0,3162,[0.0]
False,1,0,3162,[0.0]
False,1,0,3162,[0.0]
False,1,0,3162,[0.0]
False,1,0,3162,[0.0]
False,1,0,3162,[0.0]
False,1,0,3162,[0.0]
False,1,0,3162,[0.0]
False,1,0,3162,[0.0]
False,1,0,3162,[0.0]
False,1,0,3162,[0.0]
False,1,0,3162,[0.0]
False,1,0,3162,[0.0]
False,1,0,3162,[0.0]
False,1,0,3162,[0.0]
False,1,0,3162,[0.0]
False,1,0,3162,[0.0]
False,1,0,3162,[0.0]
False,1,0,3162,[0.0]
False,1,0,3162,[0.0]
False,1,0,3162,[0.0]
False,1,0,3162,[0.0]
False,1,0,3162,[0.0]
False,1,0,3162,[0.0]
False,1,0,3162,[0.0]
False,1,0,3162,[0.0]
False,1,0,3162,[0.0]
False,1,0,3162,[0.0]
False,1,0,3162,[0.0]
False,1,0,3162,[0.0]
False,1,0,3162,[0.0]
False,1,0,3162,[0.0]
False,1,0,3162,[-0.01745329251994332]
False,1,0,3162,[0.0]
False,1,0,3162,[0.0]
False,1,0,3162,[0.0]
False,1,0,3162,[0.0]
False,1,0,3162,[0.0]
False,1,0,3162,[0.0]
False,1,0,3162,[0.0]
False,1,0,3162,[0.0]
False,1,0,3162,[0.0]
False,1,0,3162,[0.0]
False,1,0,3162,[0.0]
False,1,0,3162,[0.0]
False,1,0,3162,[0.0]
False,1,0,3162,[0.0]
False,1,0,3162,[0.0]
False,1,0,3162,[0.0]
False,1,0,3162,[0.0]
False,1,0,3162,[0.0]
False,1,0,3162,[0.0]
False,1,0,3162,[0.0]
False,1,0,3162,[0.0]
False,1,0,3162,[0.0]
False,1,0,3162,[0.0]
False,1,0,3162,[0.0]
False,1,0,3162,[0.0]
False,1,0,3162,[0.0]
False,1,0,3162,[0.0]
False,1,0,3162,[0.0]
False,1,0,3162,[0.0]
False,1,0,3162,[0.0]
False,1,0,3162,[0.0]
False,1,0,3162,[0.0]
False,1,0,3162,[0.0]
False,1,0,3162,[0.0]
False,1,0,3162,[0.0]
False,1,0,3162,[0.0]
False,1,0,3162,[0.0]
False,1,0,3162,[-0.01745329251994332]
False,1,0,3162,[0.0]
False,1,0,3162,[0.0]
False,1,0,3162,[0.0]
False,1,0,3162,[-0.01745329251994332]
False,1,0,3162,[0.0]
False,1,0,3162,[-0.01745329251994332]
False,1,0,3162,[0.0]
False,1,0,3162,[0.0]
False,1,0,3162,[0.0]
False,1,0,3162,[0.0]
False,1,0,3162,[0.0]
