error,numSignals,selectSignal,samples,doas,freqOrig,freqMVDR,freqOrigMag,freqMVDRMag
False,3,0,10000,"[-0.5061454830783556, 0.01745329251994332, 0.593411945678072]","[1078271.9999999998, 577535.9999999999, 304127.99999999994]","[304127.99999999994, 1078271.9999999998, 307199.99999999994]","[57.65190620904222, 29.74751751985393, 21.954239217004613]","[6.3962952833693745, 0.7325745694067576, 15.051555979760034]"
False,3,0,10000,"[-0.5061454830783556, 0.01745329251994332, 0.593411945678072]","[1078271.9999999998, 577535.9999999999, 304127.99999999994]","[304127.99999999994, 1078271.9999999998, 577535.9999999999]","[57.34087230590355, 29.785711423765978, 24.904193589801775]","[6.413020119115923, 0.6832086712001029, 17.191736538778528]"
False,3,0,10000,"[-0.5061454830783556, 0.01745329251994332, 0.593411945678072]","[1078271.9999999998, 577535.9999999999, 304127.99999999994]","[304127.99999999994, 307199.99999999994, 1078271.9999999998]","[57.544493054624574, 29.59373740889071, 11.338539898538942]","[6.324940020836298, 0.6480197417653895, 7.85049005009412]"
False,3,0,10000,"[-0.5061454830783556, 0.01745329251994332, 0.593411945678072]","[1078271.9999999998, 577535.9999999999, 307199.99999999994]","[307199.99999999994, 304127.99999999994, 1078271.9999999998]","[57.305329441762495, 29.178889579748823, 11.31837691514967]","[6.248351431444623, 0.7085203828238243, 7.940363561805906]"
False,3,0,10000,"[-0.5061454830783556, 0.01745329251994332, 0.593411945678072]","[1078271.9999999998, 577535.9999999999, 304127.99999999994]","[304127.99999999994, 1078271.9999999998, 577535.9999999999]","[57.20745691502508, 29.050524460001228, 26.70974365950462]","[6.284701473728674, 0.7017027330874532, 18.386496385216347]"
False,3,0,10000,"[-0.5061454830783556, 0.01745329251994332, 0.593411945678072]","[1078271.9999999998, 577535.9999999999, 304127.99999999994]","[304127.99999999994, 1078271.9999999998, 307199.99999999994]","[57.49522222348335, 28.918135477922725, 24.146967945176936]","[6.165857168577684, 0.7187874378725436, 16.796865143288088]"
False,3,0,10000,"[-0.5061454830783556, 0.01745329251994332, 0.593411945678072]","[1078271.9999999998, 577535.9999999999, 304127.99999999994]","[304127.99999999994, 1078271.9999999998, 577535.9999999999]","[57.163048323626114, 28.57208107919378, 25.538378877036482]","[6.296806863396841, 0.6957033262022586, 17.521353978103424]"
False,3,0,10000,"[-0.5061454830783556, 0.01745329251994332, 0.593411945678072]","[1078271.9999999998, 577535.9999999999, 304127.99999999994]","[304127.99999999994, 1078271.9999999998, 307199.99999999994]","[57.21483832479257, 28.755171945808353, 19.225786474382677]","[6.4428930403658695, 0.7037163221877613, 13.240146024422815]"
False,3,0,10000,"[-0.5061454830783556, 0.01745329251994332, 0.593411945678072]","[1078271.9999999998, 577535.9999999999, 304127.99999999994]","[304127.99999999994, 1078271.9999999998, 307199.99999999994]","[57.17894033829174, 28.601194148512697, 23.76622008696199]","[6.37416072868569, 0.6957825498066986, 16.264562421930638]"
False,3,0,10000,"[-0.5061454830783556, 0.01745329251994332, 0.593411945678072]","[1078271.9999999998, 577535.9999999999, 304127.99999999994]","[304127.99999999994, 1078271.9999999998, 301055.99999999994]","[57.37923213597465, 29.14003769520986, 14.068246552946265]","[6.165602882886457, 0.709654878272649, 9.635738612793315]"
